Threads,Time,Uskor,Efficiency
1,3.238,1,1
2,1.743,1.85771658060815,0.928858290304073
3,1.349,2.40029651593773,0.800098838645911
4,1.116,2.90143369175627,0.725358422939068
5,1.2,2.69833333333333,0.539666666666667
6,0.87,3.72183908045977,0.620306513409962
7,0.779,4.15661103979461,0.593801577113515
8,0.717,4.51603905160391,0.564504881450488
9,0.748,4.32887700534759,0.48098633392751
10,0.684,4.73391812865497,0.473391812865497
11,0.639,5.06729264475743,0.460662967705221
12,0.631,5.13153724247227,0.427628103539356
